Yaw,Roll,Pitch,ax,ay,az
267,0.0625,13.4375,0.1,1.15,-2.87
266.5,-0.125,14.25,0.7,2.94,-2.32
265.9375,-0.625,15.0625,1.15,3.66,-1.64
264.625,-1.875,15.875,2.33,3.23,-0.27
263.6875,-2.5,15.6875,2.74,2.57,0.42
262.6875,-3,15.1875,2.85,1.49,0.85
261.4375,-3.1875,14.375,2.32,0.28,1.32
260.125,-3.0625,13.5,0.8,-1.5,1.39
258.875,-2.5625,12.625,0.06,-2.44,0.18
257.5,-1.8125,11.875,-2.07,-3.52,-1.05
255.25,-0.5,11,-4.05,-3.48,-1.95
254.3125,-0.1875,10.875,-4.77,-3.19,-1.91
253.5,-0.1875,10.9375,-4.35,-2.87,-2.05
252.875,-0.5,11.125,-3,-2.33,-1.08
252.3125,-1.1875,11.375,-0.58,-1.89,-0.03
251.875,-2,11.5625,0.37,-1.69,0.5
251.5,-2.875,11.8125,1.51,-1,0.79
250.75,-4.0625,12.5625,1.74,-0.55,0.62
250.3125,-4.375,13.125,1.74,-0.01,0.13
249.8125,-4.375,13.75,1.36,0.75,-0.44
249.3125,-4.25,14.375,-0.1,1.99,-1.63
248.75,-4.0625,14.875,-0.75,2.53,-2.09
248.1875,-3.875,15.1875,-1.61,2.58,-1.98
247.5,-3.875,15.25,-1.05,1.48,-0.94
246.0625,-4.4375,14.375,-0.55,0.47,-0.32
245.25,-4.8125,13.625,-0.07,-0.5,0.16
244.5,-5.1875,12.875,0.06,-1.67,1.1
243.75,-5.375,12.25,-0.02,-2.04,1.32
